As_of_date,As_of_time,Number_of_confirmed_cases,Number_of_ruled_out_cases,Number_of_cases_still_hospitalised_for_investigation,Number_of_cases_fulfilling_the_reporting_criteria,Number_of_death_cases,Number_of_discharge_cases,Number_of_probable_cases,Number_of_hospitalised_cases_in_critical_condition,Number_of_positive_case_NC,Number_of_positive_case_RAT
2021-03-04,"",11055,,,,201,10593,1,13,,
2021-03-05,"",11066,,,,201,10604,1,13,,
2021-03-06,"",11074,,,,202,10622,1,12,,
2021-03-07,"",11090,,,,202,10629,1,13,,
2021-03-08,"",11099,,,,202,10636,1,13,,
2021-03-09,"",11120,,,,202,10662,1,14,,
2021-03-10,"",11128,,,,202,10675,1,14,,
2021-03-11,"",11150,,,,203,10695,1,13,,
2021-03-12,"",11210,,,,203,10711,1,13,,
2021-03-13,"",11257,,,,203,10739,1,13,,
2021-03-14,"",11281,,,,203,10755,1,13,,
2021-03-15,"",11311,,,,203,10769,1,13,,
2021-03-16,"",11329,,,,203,10786,1,10,,
2021-03-17,"",11340,,,,203,10809,1,10,,
2021-03-18,"",11350,,,,203,10824,1,10,,
2021-03-19,"",11363,,,,203,10837,1,10,,
2021-03-20,"",11371,,,,203,10863,1,10,,
2021-03-21,"",11379,,,,203,10875,1,10,,
2021-03-22,"",11397,,,,203,10901,1,10,,
2021-03-23,"",11409,,,,203,10936,1,10,,
2021-03-24,"",11419,,,,204,10963,1,10,,
2021-03-25,"",11428,,,,204,10994,1,10,,
2021-03-26,"",11439,,,,205,11023,1,10,,
2021-03-27,"",11445,,,,205,11040,1,10,,
2021-03-28,"",11446,,,,205,11056,1,10,,
2021-03-29,"",11454,,,,205,11075,1,10,,
2021-03-30,"",11461,,,,205,11085,1,9,,
2021-03-31,"",11467,,,,205,11095,1,9,,
2021-04-01,"",11480,,,,205,11108,1,9,,
2021-04-02,"",11499,,,,205,11122,1,9,,
2021-04-03,"",11501,,,,205,11133,1,9,,
2021-04-04,"",11508,,,,205,11139,1,9,,
2021-04-05,"",11524,,,,205,11145,1,6,,
2021-04-06,"",11531,,,,205,11155,1,6,,
2021-04-07,"",11539,,,,205,11163,1,9,,
2021-04-08,"",11549,,,,205,11174,1,8,,
2021-04-09,"",11563,,,,206,11186,1,7,,
2021-04-10,"",11568,,,,207,11193,1,7,,
2021-04-11,"",11581,,,,207,11206,1,7,,
2021-04-12,"",11594,,,,207,11214,1,7,,
2021-04-13,"",11607,,,,207,11227,1,7,,
2021-04-14,"",11612,,,,209,11237,1,6,,
2021-04-15,"",11618,,,,209,11246,1,6,,
2021-04-16,"",11635,,,,209,11253,1,6,,
2021-04-17,"",11653,,,,209,11258,1,4,,
2021-04-18,"",11683,,,,209,11270,1,4,,
2021-04-19,"",11695,,,,209,11274,1,4,,
2021-04-20,"",11703,,,,209,11287,1,3,,
2021-04-21,"",11704,,,,209,11302,1,3,,
2021-04-22,"",11718,,,,209,11316,1,3,,
2021-04-23,"",11727,,,,209,11325,1,3,,
2021-04-24,"",11730,,,,209,11340,1,3,,
2021-04-25,"",11736,,,,209,11354,1,3,,
2021-04-26,"",11740,,,,209,11363,1,3,,
2021-04-27,"",11748,,,,209,11379,1,3,,
2021-04-28,"",11755,,,,209,11392,1,3,,
2021-04-29,"",11770,,,,209,11404,1,3,,
2021-04-30,"",11774,,,,209,11416,1,3,,
2021-05-01,"",11782,,,,210,11432,1,3,,
2021-05-02,"",11784,,,,210,11445,1,3,,
2021-05-03,"",11786,,,,210,11447,1,3,,
2021-05-04,"",11790,,,,210,11451,1,3,,
2021-05-05,"",11796,,,,210,11462,1,3,,
2021-05-06,"",11798,,,,210,11468,1,3,,
2021-05-07,"",11801,,,,210,11473,1,3,,
2021-05-08,"",11806,,,,210,11486,1,3,,
2021-05-09,"",11807,,,,210,11493,1,3,,
