As_of_date,As_of_time,Number_of_confirmed_cases,Number_of_ruled_out_cases,Number_of_cases_still_hospitalised_for_investigation,Number_of_cases_fulfilling_the_reporting_criteria,Number_of_death_cases,Number_of_discharge_cases,Number_of_probable_cases,Number_of_hospitalised_cases_in_critical_condition,Number_of_positive_case_NC,Number_of_positive_case_RAT
2020-06-27,12:00,1197,,,,7,1095,1,1,,
2020-06-28,12:00,1199,,,,7,1104,1,1,,
2020-06-29,12:00,1203,,,,7,1105,1,1,,
2020-06-30,12:00,1205,,,,7,1107,1,1,,
2020-07-01,12:00,1233,,,,7,1117,1,1,,
2020-07-02,12:00,1242,,,,7,1120,1,1,,
2020-07-03,12:00,1247,,,,7,1125,1,1,,
2020-07-04,12:00,1258,,,,7,1145,1,1,,
2020-07-05,12:00,1268,,,,7,1156,1,1,,
2020-07-06,12:00,1285,,,,7,1157,1,1,,
2020-07-07,12:00,1299,,,,7,1161,1,1,,
2020-07-08,12:00,1323,,,,7,1167,1,1,,
2020-07-09,12:00,1365,,,,7,1176,1,2,,
2020-07-10,12:00,1403,,,,7,1187,1,2,,
2020-07-11,12:00,1431,,,,7,1197,1,2,,
2020-07-12,12:00,1469,,,,7,1214,1,4,,
2020-07-13,12:00,1521,,,,7,1217,1,5,,
2020-07-14,12:00,1569,,,,8,1229,1,6,,
2020-07-15,12:00,1588,,,,8,1241,1,7,,
2020-07-16,12:00,1655,,,,10,1254,1,6,,
2020-07-17,12:00,1713,,,,10,1264,1,8,,
2020-07-18,12:00,1777,,,,12,1274,1,13,,
2020-07-19,12:00,1885,,,,12,1294,1,19,,
2020-07-20,"",1958,,,,12,1301,1,23,,
2020-07-21,"",2018,,,,14,1324,1,29,,
2020-07-22,"",2131,,,,14,1344,1,29,,
2020-07-23,"",2249,,,,15,1379,1,33,,
2020-07-24,"",2372,,,,16,1407,1,34,,
2020-07-25,"",2505,,,,18,1455,1,37,,
2020-07-26,"",2633,,,,18,1495,1,40,,
2020-07-27,"",2778,,,,22,1486,1,38,,
2020-07-28,"",2884,,,,22,1527,1,39,,
2020-07-29,"",3002,,,,24,1591,1,38,,
2020-07-30,"",3151,,,,24,1660,1,39,,
2020-07-31,"",3272,,,,27,1751,1,43,,
2020-08-01,"",3396,,,,31,1858,1,34,,
2020-08-02,"",3511,,,,34,1959,1,34,,
2020-08-03,"",3589,,,,37,2037,1,43,,
2020-08-04,"",3669,,,,41,2141,1,43,,
2020-08-05,"",3754,,,,43,2314,1,44,,
2020-08-06,"",3849,,,,44,2458,1,39,,
2020-08-07,"",3938,,,,46,2620,1,41,,
2020-08-08,"",4007,,,,47,2755,1,45,,
2020-08-09,"",4079,,,,51,2847,1,41,,
2020-08-10,"",4148,,,,54,2917,1,36,,
2020-08-11,"",4181,,,,58,3052,1,32,,
2020-08-12,"",4243,,,,63,3189,1,30,,
2020-08-13,"",4312,,,,65,3295,1,32,,
2020-08-14,"",4360,,,,66,3392,1,30,,
2020-08-15,"",4406,,,,68,3488,1,27,,
2020-08-16,"",4480,,,,69,3549,1,27,,
2020-08-17,"",4524,,,,69,3599,1,29,,
2020-08-18,"",4560,,,,70,3677,1,31,,
2020-08-19,"",4586,,,,72,3779,1,29,,
2020-08-20,"",4604,,,,73,3827,1,31,,
2020-08-21,"",4631,,,,75,3900,1,30,,
2020-08-22,"",4657,,,,76,3974,1,29,,
2020-08-23,"",4682,,,,77,4018,1,26,,
2020-08-24,"",4691,,,,77,4052,1,27,,
2020-08-25,"",4710,,,,77,4108,1,27,,
2020-08-26,"",4734,,,,78,4161,1,27,,
2020-08-27,"",4755,,,,79,4200,1,25,,
2020-08-28,"",4768,,,,84,4249,1,25,,
2020-08-29,"",4786,,,,86,4287,1,23,,
2020-08-30,"",4801,,,,88,4320,1,23,,
2020-08-31,"",4810,,,,89,4342,1,26,,
2020-09-01,"",4822,,,,90,4380,1,25,,
2020-09-02,"",4830,,,,93,4401,1,25,,
2020-09-03,"",4838,,,,94,4431,1,25,,
2020-09-04,"",4850,,,,94,4456,1,26,,
2020-09-05,"",4857,,,,94,4493,1,23,,
2020-09-06,"",4878,,,,95,4511,1,22,,
2020-09-07,"",4889,,,,98,4524,1,20,,
2020-09-08,"",4895,,,,99,4543,1,21,,
2020-09-09,"",4901,,,,99,4557,1,21,,
2020-09-10,"",4913,,,,99,4582,1,21,,
2020-09-11,"",4925,,,,99,4597,1,21,,
2020-09-12,"",4938,,,,100,4613,1,21,,
2020-09-13,"",4957,,,,100,4630,1,21,,
2020-09-14,"",4971,,,,101,4635,1,21,,
2020-09-15,"",4975,,,,101,4646,1,18,,
2020-09-16,"",4984,,,,102,4663,1,16,,
2020-09-17,"",4993,,,,102,4682,1,14,,
2020-09-18,"",4996,,,,103,4696,1,13,,
2020-09-19,"",5009,,,,103,4708,1,13,,
2020-09-20,"",5032,,,,103,4712,1,13,,
2020-09-21,"",5038,,,,103,4717,1,13,,
2020-09-22,"",5046,,,,103,4729,1,13,,
2020-09-23,"",5049,,,,103,4749,1,12,,
2020-09-24,"",5056,,,,104,4758,1,13,,
2020-09-25,"",5058,,,,104,4765,1,12,,
2020-09-26,"",5059,,,,105,4777,1,11,,
2020-09-27,"",5065,,,,105,4786,1,11,,
2020-09-28,"",5075,,,,105,4790,1,11,,
2020-09-29,"",5079,,,,105,4807,1,11,,
2020-09-30,"",5087,,,,105,4827,1,10,,
2020-10-01,"",5097,,,,105,4837,1,10,,
2020-10-02,"",5104,,,,105,4843,1,10,,
2020-10-03,"",5108,,,,105,4849,1,10,,
2020-10-04,"",5113,,,,105,4861,1,10,,
2020-10-05,"",5124,,,,105,4864,1,11,,
2020-10-06,"",5132,,,,105,4875,1,10,,
2020-10-07,"",5143,,,,105,4885,1,10,,
2020-10-08,"",5161,,,,105,4890,1,10,,
2020-10-09,"",5169,,,,105,4906,1,9,,
2020-10-10,"",5175,,,,105,4914,1,8,,
2020-10-11,"",5182,,,,105,4919,1,8,,
2020-10-12,"",5193,,,,105,4921,1,8,,
2020-10-13,"",5201,,,,105,4931,1,10,,
2020-10-14,"",5201,,,,105,4932,1,11,,
2020-10-15,"",5213,,,,105,4943,1,12,,
2020-10-16,"",5220,,,,105,4951,1,12,,
2020-10-17,"",5237,,,,105,4963,1,12,,
2020-10-18,"",5241,,,,105,4973,1,12,,
2020-10-19,"",5256,,,,105,4982,1,12,,
2020-10-20,"",5261,,,,105,4996,1,12,,
2020-10-21,"",5269,,,,105,5004,1,13,,
2020-10-22,"",5280,,,,105,5019,1,13,,
2020-10-23,"",5284,,,,105,5029,1,13,,
2020-10-24,"",5289,,,,105,5041,1,12,,
2020-10-25,"",5295,,,,105,5047,1,12,,
2020-10-26,"",5303,,,,105,5050,1,12,,
2020-10-27,"",5308,,,,105,5053,1,11,,
2020-10-28,"",5310,,,,105,5063,1,10,,
2020-10-29,"",5313,,,,105,5073,1,9,,
2020-10-30,"",5320,,,,105,5082,1,9,,
2020-10-31,"",5323,,,,105,5089,1,9,,
2020-11-01,"",5330,,,,105,5096,1,9,,
2020-11-02,"",5336,,,,105,5102,1,9,,
2020-11-03,"",5345,,,,105,5109,1,9,,
2020-11-04,"",5348,,,,106,5118,1,8,,
2020-11-05,"",5355,,,,106,5126,1,8,,
2020-11-06,"",5361,,,,107,5131,1,8,,
2020-11-07,"",5364,,,,107,5139,1,7,,
2020-11-08,"",5374,,,,107,5144,1,7,,
2020-11-09,"",5380,,,,107,5146,1,7,,
2020-11-10,"",5389,,,,108,5153,1,6,,
2020-11-11,"",5407,,,,108,5159,1,6,,
2020-11-12,"",5430,,,,108,5170,1,6,,
2020-11-13,"",5436,,,,108,5177,1,6,,
2020-11-14,"",5444,,,,108,5187,1,6,,
2020-11-15,"",5458,,,,108,5194,1,7,,
2020-11-16,"",5466,,,,108,5198,1,7,,
2020-11-17,"",5470,,,,108,5212,1,7,,
2020-11-18,"",5479,,,,108,5224,1,8,,
2020-11-19,"",5491,,,,108,5233,1,8,,
2020-11-20,"",5517,,,,108,5239,1,8,,
2020-11-21,"",5560,,,,108,5248,1,8,,
2020-11-22,"",5628,,,,108,5259,1,8,,
2020-11-23,"",5701,,,,108,5267,1,8,,
2020-11-24,"",5781,,,,108,5274,1,7,,
2020-11-25,"",5866,,,,108,5295,1,7,,
2020-11-26,"",5947,,,,108,5300,1,7,,
2020-11-27,"",6039,,,,108,5313,1,6,,
2020-11-28,"",6123,,,,109,5328,1,7,,
2020-11-29,"",6238,,,,109,5340,1,11,,
2020-11-30,"",6314,,,,109,5344,1,11,,
2020-12-01,"",6396,,,,109,5361,1,14,,
2020-12-02,"",6499,,,,110,5394,1,17,,
2020-12-03,"",6589,,,,110,5423,1,21,,
2020-12-04,"",6701,,,,112,5465,1,23,,
2020-12-05,"",6802,,,,112,5511,1,29,,
2020-12-06,"",6897,,,,112,5567,1,31,,
2020-12-07,"",6975,,,,112,5626,1,36,,
2020-12-08,"",7075,,,,112,5696,1,38,,
2020-12-09,"",7179,,,,114,5783,1,39,,
2020-12-10,"",7291,,,,114,5900,1,43,,
2020-12-11,"",7377,,,,114,5996,1,44,,
2020-12-12,"",7446,,,,115,6114,1,49,,
2020-12-13,"",7541,,,,117,6202,1,46,,
2020-12-14,"",7623,,,,120,6266,1,46,,
2020-12-15,"",7721,,,,122,6345,1,50,,
2020-12-16,"",7803,,,,123,6439,1,59,,
2020-12-17,"",7899,,,,125,6534,1,58,,
2020-12-18,"",7969,,,,129,6628,1,61,,
2020-12-19,"",8078,,,,129,6737,1,61,,
2020-12-20,"",8152,,,,129,6837,1,64,,
2020-12-21,"",8237,,,,131,6910,1,63,,
2020-12-22,"",8300,,,,132,6995,1,67,,
2020-12-23,"",8353,,,,133,7112,1,65,,
2020-12-24,"",8424,,,,135,7203,1,61,,
2020-12-25,"",8481,,,,136,7317,1,54,,
2020-12-26,"",8540,,,,136,7394,1,55,,
2020-12-27,"",8610,,,,136,7474,1,55,,
2020-12-28,"",8671,,,,139,7526,1,51,,
2020-12-29,"",8724,,,,143,7616,1,47,,
2020-12-30,"",8778,,,,146,7722,1,50,,
2020-12-31,"",8846,,,,148,7813,1,51,,
2021-01-01,"",8888,,,,149,7912,1,51,,
2021-01-02,"",8923,,,,150,7968,1,49,,
2021-01-03,"",8964,,,,150,8011,1,49,,
2021-01-04,"",9017,,,,151,8055,1,50,,
2021-01-05,"",9049,,,,153,8127,1,48,,
2021-01-06,"",9074,,,,154,8201,1,43,,
2021-01-07,"",9107,,,,154,8258,1,41,,
2021-01-08,"",9152,,,,155,8307,1,42,,
2021-01-09,"",9211,,,,157,8374,1,39,,
2021-01-10,"",9242,,,,158,8423,1,39,,
2021-01-11,"",9283,,,,158,8468,1,39,,
2021-01-12,"",9343,,,,159,8524,1,40,,
2021-01-13,"",9385,,,,161,8584,1,41,,
2021-01-14,"",9414,,,,161,8631,1,42,,
2021-01-15,"",9452,,,,161,8684,1,41,,
2021-01-16,"",9502,,,,162,8724,1,42,,
2021-01-17,"",9557,,,,162,8758,1,42,,
2021-01-18,"",9664,,,,163,8786,1,41,,
2021-01-19,"",9720,,,,164,8828,1,39,,
2021-01-20,"",9797,,,,166,8865,1,39,,
2021-01-21,"",9867,,,,167,8904,1,37,,
2021-01-22,"",9928,,,,167,8949,1,34,,
2021-01-23,"",10009,,,,168,8998,1,38,,
2021-01-24,"",10085,,,,169,9034,1,35,,
2021-01-25,"",10158,,,,171,9056,1,35,,
2021-01-26,"",10222,,,,173,9101,1,34,,
2021-01-27,"",10282,,,,174,9162,1,32,,
2021-01-28,"",10321,,,,177,9239,1,32,,
2021-01-29,"",10371,,,,178,9302,1,30,,
2021-01-30,"",10399,,,,178,9362,1,28,,
2021-01-31,"",10452,,,,181,9423,1,28,,
2021-02-01,"",10486,,,,182,9474,1,28,,
2021-02-02,"",10511,,,,183,9549,1,30,,
2021-02-03,"",10530,,,,185,9633,1,28,,
2021-02-04,"",10552,,,,186,9684,1,26,,
2021-02-05,"",10589,,,,186,9750,1,24,,
2021-02-06,"",10608,,,,186,9828,1,24,,
2021-02-07,"",10635,,,,186,9887,1,23,,
2021-02-08,"",10667,,,,186,9918,1,24,,
2021-02-09,"",10693,,,,187,9976,1,24,,
2021-02-10,"",10710,,,,188,10022,1,22,,
2021-02-11,"",10731,,,,191,10077,1,21,,
2021-02-12,"",10755,,,,192,10136,1,22,,
2021-02-13,"",10767,,,,193,10160,1,21,,
2021-02-14,"",10779,,,,193,10185,1,21,,
2021-02-15,"",10788,,,,193,10207,1,21,,
2021-02-16,"",10796,,,,194,10232,1,22,,
2021-02-17,"",10812,,,,195,10270,1,19,,
2021-02-18,"",10820,,,,197,10298,1,18,,
2021-02-19,"",10833,,,,197,10329,1,18,,
2021-02-20,"",10848,,,,197,10362,1,18,,
2021-02-21,"",10868,,,,197,10389,1,18,,
2021-02-22,"",10884,,,,197,10404,1,18,,
2021-02-23,"",10896,,,,197,10427,1,17,,
2021-02-24,"",10913,,,,197,10461,1,17,,
2021-02-25,"",10926,,,,198,10474,1,18,,
2021-02-26,"",10951,,,,198,10493,1,18,,
2021-02-27,"",10983,,,,198,10519,1,17,,
2021-02-28,"",11005,,,,199,10536,1,17,,
2021-03-01,"",11019,,,,200,10547,1,16,,
2021-03-02,"",11032,,,,200,10563,1,14,,
2021-03-03,"",11046,,,,200,10578,1,13,,
